[CURRENT] Sales Transaction Export,,,,,,,,
Oliveseed Foundation,,,,,,,,
"January, 2023-December, 2030",,,,,,,,

Donor,Transaction date,Num,Product/Service full name,Amount,REF #,Line created by,Line created date,Item class
Donor 1703,07/07/2023,9010,Name 1043,9.23,32597774,Jim Mackraz,07/19/2023 02:24:06 PM,School Projects
Donor 1704,07/09/2023,9071,Name 1044,60.00,,Jim Mackraz,11/06/2023 08:27:24 PM,Community Libraries
Donor 1705,07/12/2023,9072,Name 1045,100.00,,Jim Mackraz,11/06/2023 08:28:43 PM,Community Libraries
Donor 1706,07/14/2023,9073,Name 1046,500.00,,Jim Mackraz,11/06/2023 08:29:53 PM,Community Libraries
Donor 1707,07/16/2023,9011,Name 1047,4.89,32729635,Jim Mackraz,07/19/2023 02:25:25 PM,OliveSeed Fdn - Operations
Donor 1708,07/18/2023,9012,Name 1048,144.15,32784320,Jim Mackraz,07/19/2023 02:26:43 PM,OliveSeed Fdn - Operations
Donor 1709,07/19/2023,9002,Name 1049,40.00,San Francisco,Jim Mackraz,07/19/2023 01:11:05 PM,OliveSeed Fdn - Operations
Donor 1710,07/19/2023,9003,Name 1050,240.00,32380512,Jim Mackraz,07/19/2023 01:13:25 PM,OliveSeed Fdn - Operations
Donor 1711,07/19/2023,9074,Name 1051,100.00,,Jim Mackraz,11/06/2023 08:31:38 PM,Community Libraries
Donor 1712,07/23/2023,9021,Name 1052,99.49,32905545,Stephanie Gray,09/24/2023 12:49:50 PM,OliveSeed Fdn - Operations
Donor 1713,07/25/2023,9013,Name 1053,"1,000.00",3076,Jim Mackraz,07/28/2023 10:17:57 AM,OliveSeed Fdn - Operations
Donor 1714,07/26/2023,9022,Name 1054,80.01,32986712,Stephanie Gray,09/24/2023 12:59:02 PM,OliveSeed Fdn - Operations
Donor 1715,07/26/2023,9023,Name 1055,493.55,33037127,Stephanie Gray,09/24/2023 01:06:12 PM,OliveSeed Fdn - Operations
Donor 1716,07/31/2023,9014,Name 1056,40.00,766,Barb Mackraz,08/07/2023 04:27:39 PM,OliveSeed Fdn - Operations
Donor 1717,08/05/2023,9024,Name 1057,38.01,33244191,Stephanie Gray,09/24/2023 01:11:00 PM,OliveSeed Fdn - Operations
Donor 1718,08/07/2023,9025,Name 1058,39.77,33290175,Stephanie Gray,09/24/2023 01:14:03 PM,OliveSeed Fdn - Operations
Donor 1719,08/09/2023,9026,Name 1059,960.20,33347442,Stephanie Gray,09/24/2023 01:24:03 PM,OliveSeed Fdn - Operations
Donor 1720,08/10/2023,9015,Name 1060,283.74,3077,Barb Mackraz,08/10/2023 05:16:34 PM,Scholars
Donor 1721,08/10/2023,9016,Name 1061,300.00,2033,Barb Mackraz,08/10/2023 05:19:20 PM,OSK Ops
Donor 1722,08/10/2023,9027,Name 1062,50.00,33351714,Stephanie Gray,09/24/2023 01:31:03 PM,Fundraising Activities
Donor 1723,08/10/2023,9028,Name 1063,9.20,33357713,Stephanie Gray,09/24/2023 01:38:11 PM,School Projects
Donor 1724,08/11/2023,9017,Name 1064,"1,500.00",346,Barb Mackraz,08/11/2023 03:27:38 PM,OliveSeed Fdn - Operations
Donor 1725,08/16/2023,9029,Name 1065,4.89,33494879,Stephanie Gray,09/24/2023 01:42:03 PM,OliveSeed Fdn - Operations
Donor 1726,08/18/2023,9030,Name 1066,143.78,33558992,Stephanie Gray,09/24/2023 01:44:06 PM,OliveSeed Fdn - Operations
Donor 1727,08/23/2023,9031,Name 1067,99.23,33681232,Stephanie Gray,09/24/2023 01:47:08 PM,OliveSeed Fdn - Operations
Donor 1728,08/31/2023,9032,Name 1068,"1,440.45",33876089,Stephanie Gray,09/24/2023 01:53:56 PM,OliveSeed Fdn - Operations
Donor 1729,09/02/2023,9018,Name 1069,100.00,,Jim Mackraz,09/11/2023 02:27:34 PM,Community Libraries
Donor 1730,09/03/2023,9033,Name 1070,480.81,33974658,Stephanie Gray,09/24/2023 02:21:42 PM,OliveSeed Fdn - Operations
Donor 1731,09/07/2023,9034,Name 1071,39.77,34071711,Stephanie Gray,09/24/2023 02:25:33 PM,OliveSeed Fdn - Operations
Donor 1732,09/10/2023,9035,Name 1072,9.20,34147750,Stephanie Gray,09/24/2023 02:29:03 PM,School Projects
Donor 1733,09/12/2023,9019,Name 1073,"3,000.00",64661,Jim Mackraz,09/18/2023 05:00:00 PM,OliveSeed Fdn - Operations
Donor 1734,09/13/2023,9036,Name 1074,47.72,34237484,Stephanie Gray,09/24/2023 02:32:27 PM,OliveSeed Fdn - Operations
Donor 1735,09/14/2023,9020,Name 1075,"1,000.00",4029491697,Jim Mackraz,09/19/2023 12:52:13 PM,OliveSeed Fdn - Operations
Donor 1736,09/16/2023,9037,Name 1076,4.89,34294534,Stephanie Gray,09/24/2023 02:36:06 PM,OliveSeed Fdn - Operations
Donor 1737,09/18/2023,9038,Name 1077,143.78,34351131,Stephanie Gray,09/24/2023 02:38:25 PM,OliveSeed Fdn - Operations
Donor 1738,09/18/2023,9231,Name 1078,80.00,8590,Barb Mackraz,10/20/2024 01:00:30 PM,OliveSeed Fdn - Operations
Donor 1739,09/20/2023,9039,Name 1079,960.20,34412966,Stephanie Gray,09/24/2023 02:40:13 PM,OliveSeed Fdn - Operations
Donor 1740,09/21/2023,9041,Name 1080,"98,000.00",13691627,Jim Mackraz,10/01/2023 05:00:00 PM,OliveSeed Fdn - Operations
Donor 1741,09/21/2023,9041,Name 1081,"27,000.00",13691627,Barb Mackraz,08/16/2024 11:14:34 AM,Clean Water Project
Donor 1742,09/23/2023,9040,Name 1082,50.60,34476996,Stephanie Gray,09/24/2023 02:42:17 PM,OliveSeed Fdn - Operations
Donor 1743,09/30/2023,9044,Name 1083,5.00,34699934,Stephanie Gray,10/22/2023 10:18:18 AM,OliveSeed Fdn - Operations
Donor 1744,10/02/2023,9053,Name 1084,"1,335.36",,Jim Mackraz,10/26/2023 11:45:45 AM,Morocco Relief
Donor 1745,10/03/2023,9042,Name 1085,"5,000.00",14547,Barb Mackraz,10/13/2023 02:27:06 PM,OliveSeed Fdn - Operations
Donor 1746,10/03/2023,9080,Name 1086,500.00,943481831,Jim Mackraz,11/13/2023 08:13:54 PM,OliveSeed Fdn - Operations
Donor 1747,10/07/2023,9045,Name 1087,39.77,34885514,Stephanie Gray,10/22/2023 10:25:27 AM,OliveSeed Fdn - Operations
Donor 1748,10/10/2023,9046,Name 1088,9.20,34963504,Stephanie Gray,10/22/2023 10:38:12 AM,School Projects
Donor 1749,10/12/2023,9047,Name 1089,80.00,35022169,Stephanie Gray,10/22/2023 10:43:07 AM,OliveSeed Fdn - Operations
Donor 1750,10/14/2023,9059,Name 1090,"1,000.00",,Jim Mackraz,11/03/2023 10:25:31 AM,Morocco Relief
Donor 1751,10/16/2023,9043,Name 1091,500.00,7925,Barb Mackraz,10/17/2023 08:10:25 PM,OliveSeed Fdn - Operations
Donor 1752,10/16/2023,9048,Name 1092,4.89,35140693,Stephanie Gray,10/22/2023 10:45:00 AM,OliveSeed Fdn - Operations
Donor 1753,10/17/2023,9049,Name 1093,47.72,35190134,Stephanie Gray,10/22/2023 10:48:05 AM,OliveSeed Fdn - Operations
Donor 1754,10/19/2023,9050,Name 1094,143.78,35242685,Stephanie Gray,10/22/2023 10:49:43 AM,OliveSeed Fdn - Operations
Donor 1755,10/23/2023,9075,Name 1095,50.60,35347245,Stephanie Gray,11/10/2023 04:19:05 PM,OliveSeed Fdn - Operations
Donor 1756,10/24/2023,9054,Name 1096,"4,942.38",,Jim Mackraz,10/26/2023 11:47:39 AM,Morocco Relief
Donor 1757,10/24/2023,9056,Name 1097,"50,000.00",0063487224,Jim Mackraz,11/03/2023 10:15:59 AM,Other Water
